Mr Ramanayake nevetha nadu daganneh eppeh.nadukarayanta rasava nethivei. Oya apu cheeneh konde bedapu kenekdakiya soya beluvoth hoda nedda? Devipita lebevah thava thavath sri Lankavata sevaya karanneh.,0
Mukiyana boru lankawa betaluwo etthatne geniyak waga kiyavanawa hriyata wattiamma waga gonranja,0
Ammo santha,0
Gammac,0
Ape..janaadipathi...wenna..GONJAATA..ADU..MONAWAADA...?,0
Mala jarawak ane piumi hansamali අප්පිරියයි,1
Piyumita.vaine bila weri hodata,0
Ranjan uncle 😁😁,0
Godak lassanai,0
Ponna party,1
Godak lassanai.... ❤❤,0
Muge.rekod.wala.tiyenawa.piyumi.samaga.kiyapu.dewal.aru.pons.keneklu,1
Chandimalta subama upan dinayak wewa jp ❤️❤️❤️❤️❤️,0
Godak lassanai 👍👍👍👍👍❤️❤️❤️❤️❤️,0
Piumi  wasi tana and 🌬,0
Ranjan aiye massina patta ...,0
Yako mu auruddata ki parak ipadunada 🙄🙄🙄,0
Supiri Ranjan ayya🥳,0
Api asai eyage kata hadata....🎸🎸🎸🎸🎸🎸🎸,0
Shanika madumali genako  rangana aiye,0
Ranjan aiya kalawe supiri waddek thama❤️,0
Hoda gemma aka,0
sahanghi wa gennakooooooooooooooooooooooo,0
"Theruni duwa mama asama niliyak oya...ahinsaka kama, hadiyawa,  dakshakama okkoma pihitala thiyenawa... a wagemai gayana hakiyawa...hamadath nama raka gena iina...oyata siyalu devi pihitai...",0
Ranjan  aiyata  jaya  wawa💖💖💖,0
hamotama adarei,0
Ranjan Ramanayakatath enna puluwan dan. rangana obata thank,0
Harima lassanai,0
Ade. Wadi. Balanna. Hitanna,0
Rajan ayye oya supuri hode asama naluwek oya,0
Anurada akka lassanaii,0
Rangana dan bilingwatte ekak wage.,0
Me gon badu ape elaine na wasawal,1
Ranjan 🤮🤮🤮🤮,0
Apooo add nethuwa balanna awa madei..,0
Ha,0
unmada u pramadara,0
Kavi ❤ur voice amazing🔥. maneesha dan tikak hadila wage champion star awilla udin idala ahagaththane hodata,0
Cricket playerlswa gananko wadstanta,0
RANJAN  DUPPATHAGE  HITHAWATHA...  SUPER...💚💛💜💗💚💛💜💗👍👍👍👍👍👍👍👍👍👍👍👍,0
